cbg,SVI_Texas,SVI_local,geometry
481130129001,0.008613217768147385,0.009689922480620172,"list(list(c(-96.712518, -96.710115, -96.702362, -96.701681, -96.701257, -96.702582, -96.70423, -96.704793, -96.704092, -96.706172, -96.708394, -96.710312, -96.712518, 32.845878, 32.84789, 32.854318, 32.852936, 32.852424, 32.850741, 32.844973, 32.844627, 32.841731, 32.838455, 32.841938, 32.843312, 32.845878)))"
481130141411,0.33889490790899246,0.3133074935400517,"list(list(c(-96.952151, -96.949995, -96.948157, -96.949612, -96.949214, -96.95001, -96.952198, -96.952151, 32.94052, 32.940379, 32.939088, 32.937524, 32.934497, 32.934373, 32.934972, 32.94052)))"
481130132012,0.056608884073672816,0.04263565891472865,"list(list(c(-96.803501, -96.786466, -96.786532, -96.794684, -96.803972, -96.803501, 32.916918, 32.917101, 32.909864, 32.909441, 32.909529, 32.916918)))"
481130059021,0.7860780065005417,0.7196382428940569,"list(list(c(-96.822971, -96.814581, -96.814642, -96.817567, -96.822946, -96.822985, -96.822971, 32.70752, 32.707524, 32.700744, 32.700387, 32.700992, 32.705956, 32.70752)))"
481130108041,0.9334236186348862,0.8856589147286822,"list(list(c(-96.874974, -96.874143, -96.874075, -96.865863, -96.865907, -96.870196, -96.873086, -96.874189, -96.874974, 32.705699, 32.707245, 32.708284, 32.708328, 32.704957, 32.704937, 32.704948, 32.70537, 32.705699)))"
481130012021,0.431148429035753,0.38824289405684753,"list(list(c(-96.72949, -96.72644, -96.726271, -96.72514, -96.726356, -96.725816, -96.727413, -96.728879, -96.727923, -96.731833, -96.72949, 32.8111, 32.813057, 32.813189, 32.810955, 32.807384, 32.804378, 32.80425, 32.804288, 32.805883, 32.808839, 32.8111)))"
481130181533,0.011321776814734563,0.012273901808785515,"list(list(c(-96.599824, -96.593014, -96.591674, -96.591644, -96.58331, -96.583483, -96.586194, -96.589453, -96.590686, -96.592491, -96.593787, -96.599824, 32.96306, 32.964793, 32.96867, 32.973295, 32.973256, 32.964806, 32.964798, 32.963991, 32.963033, 32.959198, 32.957937, 32.96306)))"
481130011022,0.11966413867822323,0.12080103359173122,"list(list(c(-96.761549, -96.760114, -96.752902, -96.752871, -96.752913, -96.761534, -96.761522, -96.761549, 32.822001, 32.823092, 32.822963, 32.819074, 32.817189, 32.817194, 32.817335, 32.822001)))"
481130199002,0.8121885157096425,0.7732558139534884,"list(list(c(-96.895649, -96.891374, -96.89137, -96.887202, -96.881006, -96.880972, -96.893388, -96.893983, -96.89564, -96.895649, 32.746429, 32.746543, 32.742324, 32.742324, 32.742286, 32.739921, 32.736967, 32.744743, 32.744839, 32.746429)))"
481130178172,0.41121343445287106,0.36111111111111116,"list(list(c(-96.627843, -96.622686, -96.61463, -96.614388, -96.615453, -96.618818, -96.619332, -96.62335, -96.621354, -96.624827, -96.625865, -96.627843, 32.810378, 32.810829, 32.810857, 32.807378, 32.805059, 32.805073, 32.804918, 32.8016, 32.799904, 32.796912, 32.796914, 32.810378)))"
